nome_produto,categoria_produto,fabricante,preco,quantidade_estoque,data_compra,nome_cliente,faixa_etaria_cliente,genero_cliente,estado_residencia_cliente,meio_pagamento,em_promocao,desconto_maximo,frete_gratis,avaliacao_produto,quantidade_vendida
Produto_9654,Jogos,Sony,1082.19,4919,2024-07-19,Paula,46-55,Masculino,PR,Cartão de Crédito,False,0.0,True,4,2
Produto_2334,Brinquedos,Panasonic,344.01,4692,2024-09-11,Lucas,56-65,Masculino,CE,Cartão de Crédito,False,0.0,False,4,4
Produto_8541,Eletrônicos,Brastemp,975.28,3547,2024-09-18,Lucas,56-65,Masculino,CE,Pix,True,17.4,True,4,9
Produto_1889,Eletrônicos,Panasonic,869.73,2304,2024-06-13,Carla,18-25,Outro,SC,Pix,True,14.3,True,1,6
Produto_5798,Esportes,Panasonic,1122.68,1807,2024-07-12,Lucas,56-65,Masculino,CE,Cartão de Crédito,False,0.0,False,5,9
Produto_9602,Eletrodomésticos,Brastemp,1300.13,1497,2023-12-25,Carla,18-25,Outro,SC,Transferência Bancária,False,0.0,False,2,10
Produto_6945,Vestuário,Microsoft,661.59,4925,2024-02-06,Ana,56-65,Feminino,RS,Pix,True,21.6,True,1,6
Produto_7924,Beleza,Samsung,467.83,409,2024-10-25,Lucas,56-65,Masculino,CE,Transferência Bancária,True,8.1,False,5,8
Produto_4980,Esportes,Panasonic,976.31,4999,2024-07-11,Lucas,56-65,Masculino,CE,Cartão de Crédito,True,26.1,False,2,1
Produto_6430,Eletrodomésticos,Acer,615.96,3830,2024-01-26,Thiago,46-55,Outro,SC,Boleto,True,14.4,False,3,6
Produto_4189,Esportes,Philips,183.72,879,2024-05-14,Carla,18-25,Outro,SC,Boleto,False,0.0,False,1,10
Produto_8277,Jogos,Samsung,1454.54,4971,2024-10-03,Fernanda,26-35,Masculino,SC,Pix,False,0.0,True,5,8
Produto_2960,Jogos,Philips,244.14,2767,2024-06-25,Ana,56-65,Feminino,RS,Cartão de Crédito,False,0.0,True,5,5
Produto_4566,Móveis,Samsung,1208.48,654,2024-10-21,Thiago,46-55,Outro,SC,Transferência Bancária,False,0.0,False,1,1
Produto_5308,Eletrônicos,Brastemp,1295.98,2238,2024-09-21,Lucas,56-65,Masculino,CE,Pix,True,24.4,True,3,7
Produto_3994,Eletrônicos,Apple,1432.99,2182,2024-02-25,Thiago,46-55,Outro,SC,Pix,True,10.3,True,4,5
Produto_2383,Esportes,Panasonic,662.0,4800,2023-11-22,Lucas,56-65,Masculino,CE,Pix,True,14.1,True,2,7
